Is Attacker,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Connections,Mined Blocks in Main Chain,Mean Block Receive Time.1,Mean Block Propagation Time.1,Mean Block Size.1,Total Blocks.1,Stale Blocks.1,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork.1,Blocks in Forks.1,Mined Blocks in Main Chain.1,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
1,604.124,0.48504,533275,991,283,317,1884.06,483422,0.3,18,1312350,1321520,43740,109026,117775,185760,96660,87490,374908139,948807435,12,566,15,132,732.797,578.14,543394,817.0,109,1461590.0,104946.0,122024.0,88063.1,410777000,9.1875,219.125,708,625.239,625.729,625.853,586.427,2923190.0,209891.0,244048.0,176126.0,821554000,1011.16,825107000
0,991.716,0.869062,628726,7,0,0,0.0,0,0.002,0,11700,10920,0,972,1050,0,0,780,3772895,0,0,0,15,0,991.677,0.769346,628726,7.0,0,10968.8,911.25,984.375,731.25,3537090,0.0,0.0,7,0.68318,0.869062,0.878572,0.769346,21937.5,1822.5,1968.75,1462.5,7074180,1183.56,7101370
0,540.055,1.07356,430959,11,0,0,0.0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,4310491,0,0,0,15,0,540.02,0.775022,430959,11.0,0,18281.3,1518.75,1640.62,1218.75,4041090,0.0,0.0,11,0.676917,0.986722,1.05401,0.775022,36562.5,3037.5,3281.25,2437.5,8082170,812.749,8127490
0,451.269,1.38695,644458,11,0,0,0.0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,6445481,0,0,0,15,0,451.212,0.915717,644458,11.0,0,18281.3,1518.75,1640.62,1218.75,6042640,0.0,0.0,11,0.807893,1.24709,1.3386,0.915717,36562.5,3037.5,3281.25,2437.5,12085300,1213.06,12130600
1,663.42,0.453576,512711,902,240,272,2197.81,452591,0.3,14,1226550,1220140,34020,101898,110075,144885,75360,81770,338564268,678523575,11,480,15,103,805.187,595.084,523363,743.0,81,1330340.0,97655.6,112251.0,81369.4,359812000,11.0,163.125,662,643.659,644.054,644.128,603.652,2660690.0,195311.0,224501.0,162739.0,719623000,974.214,722867000
1,608.746,0.472693,489070,985,265,296,2020.23,424774,0.3,12,1341600,1314440,29160,111456,120400,118980,62280,89440,355684992,549223020,6,530,15,84,762.892,379.645,506590,786.0,66,1404970.0,106312.0,120311.0,87742.5,367781000,6.0,132.5,720,411.683,411.967,412.116,386.144,2809940.0,212625.0,240622.0,175485.0,735562000,941.402,739001000
1,594.703,0.450486,483264,1007,292,324,1840.41,440300,0.3,15,1329900,1320710,36450,110484,119350,152370,79470,88660,343722909,715962675,9,584,15,108,745.131,413.137,494480,804.0,89,1436020.0,105857.0,121414.0,88085.6,366988000,8.0625,179.0,715,447.982,448.344,448.424,420.18,2872050.0,211714.0,242828.0,176171.0,733976000,918.404,737479000
0,639.997,1.02774,600173,10,0,0,0.0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5402365,0,0,0,15,0,640.022,0.795413,600173,10.0,0,16453.1,1366.87,1476.56,1096.88,5064720,0.0,0.0,10,0.751953,0.873435,0.972134,0.795413,32906.2,2733.75,2953.12,2193.75,10129400,1130.02,10170200
0,521.512,0.967572,409274,9,0,0,0.0,0,0.002,0,15600,14560,0,1296,1400,0,0,1040,3274913,0,0,0,15,0,521.477,0.752537,409274,9.0,0,14625.0,1215.0,1312.5,975.0,3070230,0.0,0.0,9,0.661773,0.921069,0.967572,0.752537,29250.0,2430.0,2625.0,1950.0,6140460,772.09,6176720
0,574.253,1.10402,579203,11,0,0,0.0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,5792926,0,0,0,15,0,574.231,0.790499,579203,11.0,0,18281.3,1518.75,1640.62,1218.75,5430870,0.0,0.0,11,0.70978,0.931393,1.04133,0.790499,36562.5,3037.5,3281.25,2437.5,10861700,1090.71,10907100
0,372.164,1.11191,537918,17,0,0,0.0,0,0.002,0,31200,29120,0,2592,2800,0,0,2080,8608133,0,0,0,15,0,372.127,0.796726,537918,17.0,0,29250.0,2430.0,2625.0,1950.0,8070120,0.0,0.0,17,0.708862,0.978361,1.0427,0.796726,58500.0,4860.0,5250.0,3900.0,16140200,1013.3,16212800
1,593.061,0.487464,495358,1011,285,312,1914.35,424528,0.3,12,1361100,1334260,29160,113076,122150,122625,63900,90740,368299082,562556355,8,570,15,87,750.191,298.105,515166,800.0,74,1428470.0,107831.0,122180.0,89062.5,380440000,8.0,148.125,726,323.472,323.81,323.826,303.43,2856940.0,215662.0,244359.0,178125.0,760880000,956.665,764375000
0,410.797,1.09656,589718,15,0,0,0.0,0,0.002,0,27300,25480,0,2268,2450,0,0,1820,8257311,0,0,0,15,0,410.807,0.807032,589718,15.0,0,25593.8,2126.25,2296.88,1706.25,7741230,0.0,0.0,15,0.703147,0.957822,1.06773,0.807032,51187.5,4252.5,4593.75,3412.5,15482500,1110.42,15545900
1,620.892,0.450919,508554,966,265,296,2015.73,453227,0.3,14,1304550,1290240,34020,108378,117075,138810,72660,86970,356650455,676061850,7,530,15,98,768.822,384.324,522506,780.0,79,1394770.0,103731.0,118433.0,86075.6,376614000,6.0625,158.75,701,416.324,416.718,416.749,390.509,2789540.0,207461.0,236867.0,172151.0,753227000,971.288,756633000
0,586.101,1.15948,436013,11,0,0,0.0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,4361026,0,0,0,15,0,586.037,0.809163,436013,11.0,0,18281.3,1518.75,1640.62,1218.75,4088460,0.0,0.0,11,0.769523,1.03616,1.06439,0.809163,36562.5,3037.5,3281.25,2437.5,8176920,822.224,8222240
