Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,Attack Success,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Connections,Mined Blocks in Main Chain,Is Attacker,Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
423.234,1.02081,392321,14,0,0,0.0,0,0.002,0,25350,23660,0,2106,2275,0,0,1690,5101341,0,0,0,15,0,0,423.183,0.7603,392321,14.0,0,23765.6,1974.38,2132.81,1584.38,4782510,0,0,14,0.663345,0.95889,0.981899,0.7603,47531.2,3948.75,4265.62,3168.75,9565010,740.302,9623930
495.45,0.951136,464850,12,0,0,0.0,0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5114340,0,0,0,15,0,0,495.466,0.721454,464850,12.0,0,20109.4,1670.62,1804.69,1340.62,4794690,0,0,12,0.663638,0.829317,0.902464,0.721454,40218.8,3341.25,3609.38,2681.25,9589390,876.294,9639240
456.034,1.27944,628259,14,0,0,0.0,0,0.002,0,25350,23660,0,2106,2275,0,0,1690,8168534,0,0,0,15,0,0,455.99,0.856325,628259,14.0,0,23765.6,1974.38,2132.81,1584.38,7658000,0,0,14,0.756426,1.08716,1.18883,0.856325,47531.2,3948.75,4265.62,3168.75,15316000,1182.69,15374900
449.202,0.889039,668752,14,0,0,0.0,0,0.002,0,25350,23660,0,2106,2275,0,0,1690,8694949,0,0,0,15,0,0,449.183,0.764621,668752,14.0,0,23765.6,1974.38,2132.81,1584.38,8151510,0,0,14,0.737186,0.829942,0.843226,0.764621,47531.2,3948.75,4265.62,3168.75,16303000,1258.61,16361900
840.746,0.926016,354691,7,0,0,0.0,0,0.002,0,11700,10920,0,972,1050,0,0,780,2128688,0,0,0,15,0,0,840.634,0.701385,354691,7.0,0,10968.8,911.25,984.375,731.25,1995640,0,0,7,0.6334,0.810344,0.844582,0.701385,21937.5,1822.5,1968.75,1462.5,3991290,669.747,4018480
490.784,1.33639,625827,13,0,0,0.0,0,0.002,0,23400,21840,0,1944,2100,0,0,1560,7510999,0,0,0,15,0,0,490.727,0.887158,625827,13.0,0,21937.5,1822.5,1968.75,1462.5,7041560,0,0,13,0.801176,1.15063,1.24127,0.887158,43875.0,3645.0,3937.5,2925.0,14083100,1178.13,14137500
441.392,1.03575,618543,8,0,0,0.0,0,0.002,0,13650,12740,0,1134,1225,0,0,910,4330429,0,0,0,15,0,0,441.356,0.773098,618543,8.0,0,12796.9,1063.12,1148.44,853.125,4059780,0,0,8,0.680853,0.894507,0.949629,0.773098,25593.8,2126.25,2296.88,1706.25,8119550,1164.47,8151280
372.164,1.11191,537918,17,0,0,0.0,0,0.002,0,31200,29120,0,2592,2800,0,0,2080,8608133,0,0,0,15,0,0,372.127,0.796726,537918,17.0,0,29250.0,2430.0,2625.0,1950.0,8070120,0,0,17,0.708862,0.978361,1.0427,0.796726,58500.0,4860.0,5250.0,3900.0,16140200,1013.3,16212800
540.055,1.07356,430959,11,0,0,0.0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,4310491,0,0,0,15,0,0,540.02,0.775022,430959,11.0,0,18281.3,1518.75,1640.62,1218.75,4041090,0,0,11,0.676917,0.986722,1.05401,0.775022,36562.5,3037.5,3281.25,2437.5,8082170,812.749,8127490
429.037,1.1055,485281,12,0,0,0.0,0,0.002,0,21450,20020,0,1782,1925,0,0,1430,5339078,0,0,0,15,0,0,428.975,0.794708,485281,12.0,0,20109.4,1670.62,1804.69,1340.62,5005390,0,0,12,0.715496,1.02715,1.07542,0.794708,40218.8,3341.25,3609.38,2681.25,10010800,914.602,10060600
747.297,1.27327,772806,9,0,0,0.0,0,0.002,0,15600,14560,0,1296,1400,0,0,1040,6183166,0,0,0,15,0,0,747.226,0.893706,772806,9.0,0,14625.0,1215.0,1312.5,975.0,5796720,0,0,9,0.647971,1.17288,1.20052,0.893706,29250.0,2430.0,2625.0,1950.0,11593400,1453.71,11629700
586.318,0.912572,575478,10,0,0,0.0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5180112,0,0,0,15,0,0,586.289,0.751847,575478,10.0,0,16453.1,1366.87,1476.56,1096.88,4856360,0,0,10,0.697807,0.78886,0.887863,0.751847,32906.2,2733.75,2953.12,2193.75,9712710,1083.72,9753500
750.49,1.12106,463760,7,0,0,0.0,0,0.002,0,11700,10920,0,972,1050,0,0,780,2783100,0,0,0,15,0,0,750.382,0.793065,463760,7.0,0,10968.8,911.25,984.375,731.25,2609160,0,0,7,0.726917,1.01247,1.05379,0.793065,21937.5,1822.5,1968.75,1462.5,5218310,874.251,5245500
819.796,0.974197,558228,8,0,0,0.0,0,0.002,0,13650,12740,0,1134,1225,0,0,910,3908224,0,0,0,15,0,0,819.816,0.734111,558228,8.0,0,12796.9,1063.12,1148.44,853.125,3663960,0,0,8,0.648697,0.834026,0.85644,0.734111,25593.8,2126.25,2296.88,1706.25,7327920,1051.38,7359640
660.399,1.03884,724237,8,0,0,0.0,0,0.002,0,13650,12740,0,1134,1225,0,0,910,5070287,0,0,0,15,0,0,660.432,0.812636,724237,8.0,0,12796.9,1063.12,1148.44,853.125,4753390,0,0,8,0.765763,0.862735,0.988143,0.812636,25593.8,2126.25,2296.88,1706.25,9506790,1362.64,9538510
586.024,1.18106,605493,10,0,0,0.0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5450244,0,0,0,15,0,0,585.95,0.835917,605493,10.0,0,16453.1,1366.87,1476.56,1096.88,5109600,0,0,10,0.749669,1.03024,1.17849,0.835917,32906.2,2733.75,2953.12,2193.75,10219200,1140.0,10260000
559.694,0.765713,522543,11,0,0,0.0,0,0.002,0,19500,18200,0,1620,1750,0,0,1300,5226327,0,0,0,15,0,0,559.698,0.671485,522543,11.0,0,18281.3,1518.75,1640.62,1218.75,4899680,0,0,11,0.602118,0.737494,0.79176,0.671485,36562.5,3037.5,3281.25,2437.5,9799360,984.468,9844680
583.032,1.10212,657387,10,0,0,0.0,0,0.002,0,17550,16380,0,1458,1575,0,0,1170,5917290,0,0,0,15,0,0,582.991,0.822386,657387,10.0,0,16453.1,1366.87,1476.56,1096.88,5547460,0,0,10,0.724818,0.967011,1.0161,0.822386,32906.2,2733.75,2953.12,2193.75,11094900,1237.3,11135700
