Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval
811.117,368.618,507110,64926,5526,1.26038e+06,1.33125e+06,185591,94223.2,107292,200484,148931,78059.2,3.29388e+08,5.97139e+08,8,104,59400,0,0,0,0
811.25,368.929,507124,65653,5578,1.27497e+06,1.33028e+06,167400,95436,108602,180833,134333,79032.4,3.33456e+08,5.36115e+08,8,104,60075,0,0,0,0
811.38,369.233,507139,66380,5630,1.28646e+06,1.32951e+06,153090,96390,109633,165375,122850,79798,3.36338e+08,4.92885e+08,8,104,60750,0,0,0,0
811.508,369.528,507153,67107,5682,1.29656e+06,1.32884e+06,140498,97229.5,110540,151773,112745,80471.6,3.39066e+08,4.51966e+08,8,104,61425,0,0,0,0
811.632,369.821,507167,67834,5734,1.30531e+06,1.32825e+06,129600,97956,111325,140000,104000,81054.7,3.41425e+08,4.16575e+08,8,104,62100,0,0,0,0
811.754,370.106,507181,68561,5786,1.31286e+06,1.32775e+06,120192,98583.2,112002,129837,96450,81558,3.43487e+08,3.85651e+08,8,104,62775,0,0,0,0
811.874,370.387,507194,69288,5838,1.31961e+06,1.3273e+06,111780,99144,112608,120750,89700,82008,3.45252e+08,3.59171e+08,8,104,63450,0,0,0,0
811.991,370.661,507207,70015,5890,1.3252e+06,1.32693e+06,104814,99608.4,113110,113225,84110,82380.7,3.46729e+08,3.37016e+08,8,104,64125,0,0,0,0
809.933,365.875,506977,70932,6132,1.32123e+06,1.32123e+06,99933.8,99933.8,113117,113117,82488.8,82488.8,3.46122e+08,3.46122e+08,8,127.75,64800,0,0,0,0
810.067,366.183,506992,71659,6184,1.07976e+06,1.34329e+06,410670,79218,91083,443625,329550,66018,2.76059e+08,1.39707e+09,8,104,65475,0,0,0,0
810.199,366.485,507007,72386,6236,1.08951e+06,1.34264e+06,398520,80028,91958,430500,319800,66668,2.83474e+08,1.28584e+09,8,104,66150,0,0,0,0
810.327,366.785,507021,73113,6288,1.12266e+06,1.34043e+06,357210,82782,94933,385875,286650,68878,2.91289e+08,1.16862e+09,8,104,66825,0,0,0,0
810.453,367.076,507035,73840,6340,1.16263e+06,1.33776e+06,307395,86103,98520.5,332062,246675,71543,3.03029e+08,9.92511e+08,8,104,67500,0,0,0,0
810.577,367.365,507049,74567,6392,1.19286e+06,1.33575e+06,269730,88614,101233,291375,216450,73558,3.10815e+08,8.75733e+08,8,104,68175,0,0,0,0
810.699,367.646,507063,75294,6444,1.22178e+06,1.33382e+06,233685,91017,103829,252438,187525,75486.3,3.19121e+08,7.5113e+08,8,104,68850,0,0,0,0
810.818,367.921,507076,76021,6496,1.24356e+06,1.33237e+06,206550,92826,105783,223125,165750,76938,3.24806e+08,6.65864e+08,8,104,69525,0,0,0,0
810.934,368.195,507089,76748,6548,1.26038e+06,1.33125e+06,185591,94223.2,107292,200484,148931,78059.2,3.29388e+08,5.97139e+08,8,104,70200,0,0,0,0
811.049,368.463,507102,77475,6600,1.27497e+06,1.33028e+06,167400,95436,108602,180833,134333,79032.4,3.33456e+08,5.36115e+08,8,104,70875,0,0,0,0
