Mean Block Receive Time,Mean Block Propagation Time,Mean Block Size,Total Blocks,Stale Blocks,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,Longest Fork,Blocks in Forks,Mined Blocks in Main Chain,Fork Height,Fork Length,Block Interval,Time Interval,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node
753.297,232.641,536471,797,60,1421620.0,111021.0,123651,90744.4,393972000.0,7.1875,120.438,737,0,0,0,0,253.117,253.418,253.498,237.472,2843240.0,222041,247301,181489,787945000.0,994.27,791439000.0
787.181,474.987,514111,762,83,1362990.0,99933.8,114939,83298.8,362500000.0,8.1875,167.875,679,0,0,0,0,514.48,514.868,514.962,482.53,2725970.0,199867,229879,166598,725001000.0,957.06,728323000.0
798.314,326.587,531248,749,64,1340980.0,100997.0,114569,83476.9,367877000.0,6.125,128.938,685,0,0,0,0,353.606,353.952,353.957,331.696,2681970.0,201994,229138,166954,735755000.0,988.015,739035000.0
849.871,128.638,519778,706,35,1260940.0,100997.0,111076,81924.4,337907000.0,8.125,71.0625,671,0,0,0,0,139.946,140.149,140.213,131.335,2521890.0,201994,222152,163849,675813000.0,963.011,678923000.0
817.25,287.467,523308,734,44,1312370.0,102668.0,114247,83872.5,354421000.0,8.0,89.625,690,0,0,0,0,312.325,312.575,312.698,292.965,2624740.0,205335,228495,167745,708843000.0,971.445,712069000.0
797.349,601.708,535380,753,97,1344090.0,97351.9,112682,81463.1,372544000.0,9.0,194.312,656,0,0,0,0,652.137,652.538,652.628,611.597,2688180.0,194704,225364,162926,745088000.0,995.159,748359000.0
803.66,311.739,521269,745,60,1332720.0,101756.0,114630,83748.8,358422000.0,7.0625,121.375,685,0,0,0,0,338.107,338.402,338.471,317.153,2665450.0,203512,229260,167498,716844000.0,967.889,720109000.0
732.945,582.511,506861,818,109,1463160.0,104642.0,121924,87920.6,383644000.0,8.0,218.5,709,0,0,0,0,630.126,630.556,630.642,590.985,2926320.0,209284,243848,175841,767288000.0,943.505,770844000.0
787.394,368.464,541816,762,68,1363630.0,104034.0,117243,85644.4,381584000.0,9.0,137.25,694,0,0,0,0,399.43,399.78,399.827,374.659,2727250.0,208069,234486,171289,763169000.0,1007.24,766510000.0
774.161,486.15,526855,774,97,1384480.0,100997.0,116467,84320.6,377586000.0,9.0,194.875,677,0,0,0,0,526.066,526.46,526.669,493.43,2768970.0,201994,232935,168641,755172000.0,981.3,758545000.0
778.403,266.959,518725,770,58,1374950.0,105553.0,118580,86728.1,368531000.0,6.0625,117.188,712,0,0,0,0,290.074,290.436,290.446,272.115,2749890.0,211106,237159,173456,737062000.0,962.853,740434000.0
749.666,365.821,495943,800,81,1431160.0,106464.0,121538,88336.9,366485000.0,13.0,163.875,719,0,0,0,0,396.405,396.735,396.869,371.82,2862310.0,212929,243077,176674,732969000.0,921.732,736464000.0
762.901,484.519,527758,786,86,1406180.0,105401.0,119858,87247.5,383754000.0,10.0,173.5,700,0,0,0,0,525.23,525.558,525.633,492.571,2812360.0,210802,239717,174495,767508000.0,982.095,770945000.0
783.946,324.658,532384,763,72,1364570.0,102668.0,116526,84885.0,375395000.0,7.0,144.75,691,0,0,0,0,351.863,352.245,352.284,330.08,2729140.0,205335,233051,169770,750789000.0,989.667,754126000.0
792.779,472.365,531795,754,63,1348740.0,102364.0,115666,84405.0,370282000.0,10.0,127.875,691,0,0,0,0,512.413,512.803,512.838,480.592,2697470.0,204727,231332,168810,740565000.0,987.871,743867000.0
833.031,233.449,535320,721,48,1288250.0,100086.0,111762,81935.6,356142000.0,6.1875,95.0,673,0,0,0,0,253.414,253.693,253.735,237.726,2576510.0,200171,223524,163871,712285000.0,993.679,715449000.0
801.356,148.996,545006,749,40,1337370.0,106768.0,117614,86690.6,375432000.0,6.25,80.25,709,0,0,0,0,162.044,162.289,162.321,152.056,2674740.0,213536,235228,173381,750864000.0,1008.24,754161000.0
812.659,380.0,535202,736,73,1315210.0,98566.9,112096,81594.4,364041000.0,7.0625,146.875,663,0,0,0,0,412.129,412.535,412.571,386.586,2630430.0,197134,224192,163189,728082000.0,994.961,731297000.0
761.968,328.902,546791,787,60,1408980.0,107224.0,120992,88338.8,397731000.0,8.0,121.75,727,0,0,0,0,356.473,356.804,356.855,334.358,2817950.0,214448,241984,176678,795461000.0,1016.43,798912000.0
805.344,239.1,522660,744,52,1330300.0,103579.0,115536,84738.8,358630000.0,6.1875,105.625,692,0,0,0,0,259.703,259.988,260.059,243.63,2660600.0,207158,231071,169478,717259000.0,969.755,720528000.0
828.589,227.542,548020,723,51,1291650.0,99933.8,111826,81915.0,365791000.0,9.0,103.875,672,0,0,0,0,247.294,247.579,247.631,232.0,2583290.0,199868,223652,163830,731582000.0,1017.66,734752000.0
791.342,439.095,510810,757,80,1351420.0,100997.0,115025,83679.4,356186000.0,8.1875,160.875,677,0,0,0,0,476.688,477.085,477.105,447.091,2702850.0,201994,230049,167359,712372000.0,946.659,715674000.0
848.965,180.09,522868,707,34,1265550.0,99933.8,110687,81408.8,341163000.0,6.125,69.125,673,0,0,0,0,195.433,195.635,195.658,183.335,2531090.0,199868,221374,162818,682326000.0,970.88,685441000.0
873.575,324.588,500123,686,51,1224270.0,94770.0,106020,77670.0,315930000.0,10.25,103.5,635,0,0,0,0,353.119,353.426,353.464,331.21,2448540.0,189540,212040,155340,631860000.0,926.811,634865000.0
765.745,567.867,507843,779,96,1393180.0,100997.0,116847,84489.4,365806000.0,10.0,193.875,683,0,0,0,0,614.206,614.689,614.819,576.086,2786370.0,201994,233694,168979,731613000.0,944.735,735004000.0
