Miner Avg Block Size,Hash Rate,Iteration,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic/node,Mean Block Size_x,Miner Avg Block Gen Interval,Label
452473.0,0.3,66,326.229,326.501,326.604,305.989,943.456,499138,2161.38,1
544960.0,0.159,74,311.97,312.28,312.297,292.634,953.239,515035,3480.64,1
0.0,0.005,58,0.715496,1.02715,1.07542,0.794708,914.602,485281,0.0,0
515200.0,0.054,49,313.0,313.243,313.301,293.58,937.788,505990,9080.58,1
548748.0,0.185,65,461.6,461.978,462.02,432.939,962.396,520341,3575.08,1
473830.0,0.016,67,500.3,500.679,500.764,469.221,989.21,533283,38791.9,1
545576.0,0.159,1,611.904,612.378,612.423,573.893,973.376,524621,3899.62,1
118438.0,0.012,44,0.608292,0.908287,1.00163,0.765848,1065.25,565624,2660.83,0
0.0,0.012,45,0.797023,0.997639,1.11507,0.841513,1246.57,662333,0.0,0
512929.0,0.066,5,447.982,448.344,448.424,420.18,918.404,495432,7864.55,1
671809.0,0.012,25,576.521,576.989,577.029,540.709,959.627,517337,93153.0,1
629648.0,0.002,97,195.433,195.635,195.658,183.335,970.88,524277,257173.0,1
570375.0,0.054,77,353.606,353.952,353.957,331.696,988.015,532351,9379.56,1
0.0,0.012,59,0.647971,1.17288,1.20052,0.893706,1453.71,772806,0.0,0
535647.0,0.066,58,496.351,496.698,496.744,465.526,994.148,537090,8541.0,1
0.0,0.159,66,0.724818,0.967011,1.0161,0.822386,1237.3,657387,0.0,0
435143.0,0.3,76,514.48,514.868,514.962,482.53,957.06,497774,2008.37,1
641576.0,0.012,59,387.318,387.57,387.724,363.287,935.035,504824,68361.4,1
549499.0,0.185,94,259.703,259.988,260.059,243.63,969.755,523941,3810.81,1
621942.0,0.016,99,614.206,614.689,614.819,576.086,944.735,508649,28181.5,1
649049.0,0.005,17,214.815,215.014,215.06,201.515,1022.91,552665,84225.9,1
0.0,0.005,1,0.800122,1.04929,1.14366,0.843756,1065.44,565725,0.0,0
0.0,0.012,32,0.640847,0.808355,0.834609,0.705667,775.429,411055,0.0,0
626148.0,0.066,4,460.552,461.019,461.047,431.996,975.891,526357,10861.8,1
0.0,0.066,54,0.801176,1.15063,1.24127,0.887158,1178.13,625827,0.0,0
540378.0,0.133,50,390.773,391.064,391.143,366.505,964.881,520744,4310.19,1
