Mean Block Receive Time_x,Mean Block Propagation Time_x,Mean Block Size_x,Miner Generated Blocks,Miner Avg Block Gen Interval,Miner Avg Block Size,Hash Rate,INV Received Bytes,INV Sent Bytes,GET_HEADERS Received Bytes,GET_HEADERS Sent Bytes,Headers Received Bytes,Headers Sent Bytes,GET_DATA Received Bytes,GET_DATA Sent Bytes,BLOCK Received Bytes,BLOCK Sent Bytes,Iteration,Mean Block Receive Time_y,Mean Block Propagation Time_y,Mean Block Size_y,The average INV,The average GET_HEADERS Bytes,The average Headers Bytes,The average GET_DATA Sent Bytes,The average BLOCK Bytes,25 percentile of Block Propagation Time,75 percentile of Block Propagation Time,90 percentile of Block Propagation Time,Miners Mean Block Propagation Time,Total average traffic due to INV messages,Total average traffic due to GET_HEADERS messages,Total average traffic due to HEADERS messages,Total average traffic due to GET_DATA messages,Total average traffic due to BLOCK messages,Total average traffic/node,average Bandwidth Per Node,Label
615.598,0.475604,516198,1,312.474,991830.0,0.196,15600,16510,2430,1296,1400,2625,1950,1040,3654669,14878800,40,615.562,0.799599,516198,16453.1,1366.87,1476.56,1096.88,4356180,0.669203,1.01048,1.07695,0.799599,32906.2,2733.75,2953.12,2193.75,8712350,972.571,8753140,0
816.817,643.659,524237,31,18630.5,643646.0,0.029,1358584,1336270,75330,99144,114309,81375,60450,82764,363843356,299337255,63,805.187,595.084,523363,1330340.0,97655.6,112251.0,81369.4,359812000,643.659,644.054,644.128,603.652,2660690.0,195311.0,224501.0,162739.0,719623000,974.214,722867000,1
449.2,0.648382,668752,0,0.0,0.0,0.002,25350,23660,0,2106,2275,0,0,1690,8694949,0,52,449.183,0.764621,668752,23765.6,1974.38,2132.81,1584.38,8151510,0.737186,0.829942,0.843226,0.764621,47531.2,3948.75,4265.62,3168.75,16303000,1258.61,16361900,0
540.046,0.986722,430959,0,0.0,0.0,0.012,19500,18200,0,1620,1750,0,0,1300,4310491,0,57,540.02,0.775022,430959,18281.3,1518.75,1640.62,1218.75,4041090,0.676917,0.986722,1.05401,0.775022,36562.5,3037.5,3281.25,2437.5,8082170,812.749,8127490,0
757.899,448.32,495432,16,36926.7,447028.0,0.012,1500558,1439880,38880,110322,126708,42000,31200,91878,384299873,107308215,56,745.131,413.137,494480,1436020.0,105857.0,121414.0,88085.6,366988000,447.982,448.344,448.424,420.18,2872050.0,211714.0,242828.0,176171.0,733976000,918.404,737479000,1
609.623,0.953096,441681,0,0.0,0.0,0.012,11700,10920,0,972,1050,0,0,780,2650625,0,15,609.557,0.792497,441681,10968.8,911.25,984.375,731.25,2484960,0.660366,1.03343,1.104,0.792497,21937.5,1822.5,1968.75,1462.5,4969920,832.852,4997110,0
763.323,612.338,524621,12,44246.3,650702.0,0.012,1499900,1432080,29160,109188,126050,31500,23400,91220,404604013,117142485,1,751.696,565.192,523515,1428090.0,104186.0,120141.0,86981.3,386638000,611.904,612.378,612.423,573.893,2856190.0,208372.0,240281.0,173963.0,773275000,973.376,776754000,1
515.106,0.660473,551064,0,0.0,0.0,0.002,21450,20020,0,1782,1925,0,0,1430,6062689,0,71,515.13,0.705114,551064,20109.4,1670.62,1804.69,1340.62,5683770,0.660473,0.755272,0.801273,0.705114,40218.8,3341.25,3609.38,2681.25,11367500,1037.94,11417400,0
410.789,0.937461,589718,0,0.0,0.0,0.005,27300,25480,0,2268,2450,0,0,1820,8257311,0,96,410.807,0.807032,589718,25593.8,2126.25,2296.88,1706.25,7741230,0.703147,0.957822,1.06773,0.807032,51187.5,4252.5,4593.75,3412.5,15482500,1110.42,15545900,0
615.499,0.677898,516198,1,5539.49,524200.0,0.009,15600,16510,2430,1296,1400,2625,1950,1040,4122299,7864350,40,615.562,0.799599,516198,16453.1,1366.87,1476.56,1096.88,4356180,0.669203,1.01048,1.07695,0.799599,32906.2,2733.75,2953.12,2193.75,8712350,972.571,8753140,0
