Mean Block Receive Time_x,Mean Block Size_y,Total average traffic/node,Label
799.31,537893,1001.38,1
567.321,468419,882.987,0
819.894,558228,1051.38,0
816.817,523363,974.214,1
476.521,565725,1065.44,0
793.468,518725,962.853,1
484.813,360376,680.406,0
789.681,527578,982.054,1
538.151,574545,1081.97,0
722.62,662333,1246.57,0
766.877,514001,953.239,1
452.018,651425,1226.12,0
457.965,569380,1072.29,0
476.504,565725,1065.44,0
428.994,485281,914.602,0
810.837,550899,1022.91,1
484.804,360376,680.406,0
590.805,449659,847.811,0
928.026,622630,1172.13,0
412.661,414190,781.306,0
533.898,606000,1140.95,0
851.696,519049,962.396,1
800.659,541816,1007.24,1
819.567,537262,997.652,1
283.03,477269,899.581,0
841.869,534217,990.133,1
928.047,622630,1172.13,0
773.617,544183,1012.33,1
452.032,651425,1226.12,0
743.623,506861,943.505,1
538.129,574545,1081.97,0
776.792,523058,968.953,1
785.88,521886,969.937,1
757.899,494480,918.404,1
483.553,407391,768.558,0
1153.62,495276,933.342,0
518.284,519715,979.165,0
790.996,531427,988.902,1
640.087,600173,1130.02,0
833.265,529899,984.258,1
769.012,536471,994.27,1
785.785,526855,981.3,1
624.055,567459,1068.69,0
801.998,538097,998.115,1
776.533,507843,944.735,1
826.599,535202,994.961,1
867.769,519778,963.011,1
586.676,395836,746.894,0
769.658,520566,964.881,1
816.816,523363,974.214,1
928.016,622630,1172.13,0
456.029,628259,1182.69,0
586.589,395836,746.894,0
735.456,482218,908.86,0
456.005,628259,1182.69,0
370.098,610082,1148.6,0
590.988,449659,847.811,0
517.618,475198,895.697,0
774.624,546791,1016.43,1
847.047,549057,1017.86,1
606.53,389539,735.085,0
775.757,714262,1343.94,0
451.189,644458,1213.06,0
567.331,468419,882.987,0
517.019,590575,1112.03,0
590.945,449659,847.811,0
776.534,507843,944.735,1
817.588,521269,967.889,1
908.682,524168,969.633,1
348.292,610693,1149.75,0
283.05,477269,899.581,0
423.104,392321,740.302,0
538.147,574545,1081.97,0
797.902,506251,938.41,1
451.161,644458,1213.06,0
864.307,522868,970.88,1
722.657,662333,1246.57,0
452.106,651425,1226.12,0
582.942,657387,1237.3,0
451.225,644458,1213.06,0
798.721,520927,968.594,1
441.197,554224,1043.87,0
810.524,535380,995.159,1
820.372,508556,944.674,1
773.616,544183,1012.33,1
832.958,523308,971.445,1
773.616,544183,1012.33,1
747.108,772806,1453.71,0
722.628,662333,1246.57,0
806.479,531795,987.871,1
763.324,523515,973.376,1
372.095,537918,1013.3,0
819.566,537262,997.652,1
851.697,519049,962.396,1
449.2,668752,1258.61,0
582.676,580322,1092.81,0
1267.68,585971,1103.4,0
797.903,506251,938.41,1
817.588,521269,967.889,1
746.049,414006,780.962,0
1153.57,495276,933.342,0
820.614,522660,969.755,1
799.729,525438,975.891,1
800.66,541816,1007.24,1
830.521,505442,937.788,1
778.912,516325,959.627,1
1153.66,495276,933.342,0
778.28,529385,982.101,1
743.345,543394,1011.16,1
583.032,657387,1237.3,0
572.437,646172,1216.27,0
761.996,495943,921.732,1
774.622,546791,1016.43,1
494.348,358722,677.304,0
370.115,610082,1148.6,0
819.786,558228,1051.38,0
619.45,520249,966.249,1
775.747,714262,1343.94,0
750.393,463760,874.251,0
817.204,532586,989.706,1
533.183,360644,680.909,0
771.126,532354,989.21,1
743.345,543394,1011.16,1
810.523,535380,995.159,1
801.998,538097,998.115,1
590.847,449659,847.811,0
742.003,507091,955.497,0
441.138,554224,1043.87,0
991.713,628726,1183.56,0
1578.98,673913,1268.29,0
586.332,575478,1083.72,0
515.182,551064,1037.94,0
775.638,714262,1343.94,0
820.373,508556,944.674,1
625.637,738969,1390.27,0
775.987,506590,941.402,1
499.323,430958,812.747,0
735.452,482218,908.86,0
532.496,536837,1011.27,0
830.403,528404,982.408,1
582.895,430499,811.887,0
773.71,515358,958.496,1
664.699,513011,966.596,0
789.682,527578,982.054,1
456.011,628259,1182.69,0
660.465,724237,1362.64,0
609.583,441681,832.852,0
412.688,414190,781.306,0
664.783,513011,966.596,0
738.796,531169,989.392,1
367.965,385235,727.016,0
908.682,524168,969.633,1
559.669,522543,984.468,0
830.52,505442,937.788,1
572.372,646172,1216.27,0
766.877,514001,953.239,1
802.486,526586,979.093,1
543.012,457373,862.276,0
799.727,525438,975.891,1
798.721,520927,968.594,1
781.982,534915,993.499,1
771.126,532354,989.21,1
832.957,523308,971.445,1
766.713,527666,982.951,1
863.022,525413,972.545,1
891.48,500123,926.811,1
452.974,565624,1065.25,0
801.999,538097,998.115,1
800.66,541816,1007.24,1
790.477,503872,935.035,1
830.521,505442,937.788,1
775.986,506590,941.402,1
746.049,414006,780.962,0
757.899,494480,918.404,1
459.867,500534,943.202,0
479.297,525864,990.696,0
834.319,505029,938.876,1
841.869,534217,990.133,1
580.656,591857,1114.43,0
832.958,523308,971.445,1
532.031,509570,960.144,0
423.216,392321,740.302,0
532.01,509570,960.144,0
585.941,605493,1140,0
623.976,567459,1068.69,0
540.021,430959,812.749,0
1153.64,495276,933.342,0
428.134,598481,1126.85,0
627.463,525438,975.891,1
423.222,392321,740.302,0
471.858,584773,1101.15,0
449.199,668752,1258.61,0
432.233,445143,839.343,0
830.521,505442,937.788,1
664.788,513011,966.596,0
747.297,772806,1453.71,0
615.556,516198,972.571,0
773.617,544183,1012.33,1
810.524,535380,995.159,1
817.204,532586,989.706,1
621.306,520905,981.397,0
793.468,518725,962.853,1
538.09,574545,1081.97,0
415.77,467254,880.802,0
763.665,515166,956.665,1
